,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,visibility,weather,wind
0,stations,{'all': 56},200,"{'lon': -133.03, 'lat': 69.44}",1521439200.0,6170031.0,"{'temp': -9.57, 'pressure': 1016, 'humidity': 84, 'temp_min': -11.21, 'temp_max': -7.61}",,Tuktoyaktuk,,"{'type': 1, 'id': 3958, 'message': 0.0036, 'country': 'CA', 'sunrise': 1521471214, 'sunset': 1521515276}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 10.29, 'deg': 100}"
1,stations,{'all': 36},200,"{'lon': 170.27, 'lat': 69.7}",1521441211.0,2122090.0,"{'temp': -11, 'pressure': 1024.91, 'humidity': 74, 'temp_min': -11, 'temp_max': -11, 'sea_level': 1032.93, 'grnd_level': 1024.91}",,Pevek,,"{'message': 0.0037, 'country': 'RU', 'sunrise': 1521398648, 'sunset': 1521442288}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 7.52, 'deg': 20.5005}"
2,stations,{'all': 36},200,"{'lon': -56.83, 'lat': -26.98}",1521441212.0,3437029.0,"{'temp': 72.88, 'pressure': 1012.51, 'humidity': 89, 'temp_min': 72.88, 'temp_max': 72.88, 'sea_level': 1022.31, 'grnd_level': 1012.51}",,San Patricio,,"{'message': 0.0035, 'country': 'PY', 'sunrise': 1521453028, 'sunset': 1521496739}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 7.74, 'deg': 169.001}"
3,stations,{'all': 0},200,"{'lon': -67.52, 'lat': -46.43}",1521441212.0,3863379.0,"{'temp': 57.94, 'pressure': 993.87, 'humidity': 57, 'temp_min': 57.94, 'temp_max': 57.94, 'sea_level': 1015.01, 'grnd_level': 993.87}",,Mar del Plata,,"{'message': 0.0033, 'country': 'AR', 'sunrise': 1521455479, 'sunset': 1521499392}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 24.07, 'deg': 268.501}"
4,stations,{'all': 0},200,"{'lon': 74.49, 'lat': 15.34}",1521441143.0,1273574.0,"{'temp': 86.74, 'pressure': 961.28, 'humidity': 63, 'temp_min': 86.74, 'temp_max': 86.74, 'sea_level': 1025.79, 'grnd_level': 961.28}",,Vaini,,"{'message': 0.0271, 'country': 'IN', 'sunrise': 1521421618, 'sunset': 1521465166}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 3.49, 'deg': 90.5005}"
5,stations,{'all': 88},200,"{'lon': -90.35, 'lat': -0.74}",1521441213.0,3652764.0,"{'temp': 77.02, 'pressure': 1016.16, 'humidity': 100, 'temp_min': 77.02, 'temp_max': 77.02, 'sea_level': 1023.24, 'grnd_level': 1016.16}",,Puerto Ayora,{'3h': 0.27},"{'message': 0.005, 'country': 'EC', 'sunrise': 1521461143, 'sunset': 1521504735}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 3.71, 'deg': 253.001}"
6,stations,{'all': 80},200,"{'lon': -139.03, 'lat': -9.8}",1521441120.0,4020109.0,"{'temp': 82.06, 'pressure': 1022.48, 'humidity': 99, 'temp_min': 82.06, 'temp_max': 82.06, 'sea_level': 1022.47, 'grnd_level': 1022.48}",,Atuona,,"{'message': 0.0033, 'country': 'PF', 'sunrise': 1521472809, 'sunset': 1521516423}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 20.6, 'deg': 86.0005}"
7,stations,{'all': 92},200,"{'lon': -6.55, 'lat': 41.42}",1521441214.0,2737599.0,"{'temp': 38.59, 'pressure': 949.04, 'humidity': 97, 'temp_min': 38.59, 'temp_max': 38.59, 'sea_level': 1024.98, 'grnd_level': 949.04}",,Saldanha,{'3h': 0.385},"{'message': 0.0036, 'country': 'PT', 'sunrise': 1521441064, 'sunset': 1521484641}",,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 8.08, 'deg': 228.501}"
8,stations,{'all': 88},200,"{'lon': 73.08, 'lat': -0.6}",1521441198.0,1282256.0,"{'temp': 85.3, 'pressure': 1024.43, 'humidity': 98, 'temp_min': 85.3, 'temp_max': 85.3, 'sea_level': 1024.38, 'grnd_level': 1024.43}",,Hithadhoo,,"{'message': 0.0033, 'country': 'MV', 'sunrise': 1521421927, 'sunset': 1521465520}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 10.42, 'deg': 57.0005}"
9,stations,{'all': 68},200,"{'lon': 73.88, 'lat': 53.78}",1521441216.0,1493423.0,"{'temp': 34.99, 'pressure': 998.65, 'humidity': 93, 'temp_min': 34.99, 'temp_max': 34.99, 'sea_level': 1013.51, 'grnd_level': 998.65}",,Russkaya Polyana,,"{'message': 0.0046, 'country': 'RU', 'sunrise': 1521421774, 'sunset': 1521465356}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 21.5, 'deg': 192.501}"
10,stations,{'all': 68},200,"{'lon': -151.75, 'lat': -16.48}",1521441216.0,4034551.0,"{'temp': 82.24, 'pressure': 1023.53, 'humidity': 100, 'temp_min': 82.24, 'temp_max': 82.24, 'sea_level': 1023.61, 'grnd_level': 1023.53}",,Faanui,,"{'message': 0.0028, 'country': 'PF', 'sunrise': 1521475848, 'sunset': 1521519483}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 16.58, 'deg': 96.0005}"
11,stations,{'all': 0},200,"{'lon': 18.25, 'lat': 52.23}",1521441217.0,3095321.0,"{'temp': 13.66, 'pressure': 1018.02, 'humidity': 75, 'temp_min': 13.66, 'temp_max': 13.66, 'sea_level': 1031.59, 'grnd_level': 1018.02}",,Konin,,"{'message': 0.0033, 'country': 'PL', 'sunrise': 1521435106, 'sunset': 1521478717}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]","{'speed': 8.97, 'deg': 68.0005}"
12,stations,{'all': 90},200,"{'lon': -111.68, 'lat': 43.97}",1521438960.0,5606187.0,"{'temp': 28.36, 'pressure': 1019, 'humidity': 86, 'temp_min': 24.8, 'temp_max': 30.2}",,Saint Anthony,,"{'type': 1, 'id': 933, 'message': 0.0051, 'country': 'US', 'sunrise': 1521466261, 'sunset': 1521509900}",16093.0,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]","{'speed': 3.36, 'deg': 360}"
13,,,404,,,,,city not found,,,,,,
14,stations,{'all': 48},200,"{'lon': -56.15, 'lat': 72.79}",1521441219.0,3418910.0,"{'temp': 1.87, 'pressure': 1025.16, 'humidity': 99, 'temp_min': 1.87, 'temp_max': 1.87, 'sea_level': 1028.59, 'grnd_level': 1025.16}",,Upernavik,,"{'message': 0.0034, 'country': 'GL', 'sunrise': 1521452767, 'sunset': 1521496855}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 17.69, 'deg': 349.001}"
15,stations,{'all': 1},200,"{'lon': -77.04, 'lat': 38.9}",1521440100.0,4366164.0,"{'temp': 33.91, 'pressure': 1013, 'humidity': 82, 'temp_min': 26.6, 'temp_max': 42.8}",,Washington DC.,,"{'type': 1, 'id': 1325, 'message': 0.0051, 'country': 'US', 'sunrise': 1521457965, 'sunset': 1521501565}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 5.84, 'deg': 282.501}"
16,stations,{'all': 20},200,"{'lon': 18.42, 'lat': -33.93}",1521439200.0,3369157.0,"{'temp': 66.2, 'pressure': 1014, 'humidity': 77, 'temp_min': 66.2, 'temp_max': 66.2}",,Cape Town,,"{'type': 1, 'id': 6529, 'message': 0.0039, 'country': 'ZA', 'sunrise': 1521434927, 'sunset': 1521478721}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 13.87, 'deg': 190}"
17,,,404,,,,,city not found,,,,,,
18,stations,{'all': 36},200,"{'lon': 172.79, 'lat': 3.07}",1521441115.0,2110227.0,"{'temp': 83.14, 'pressure': 1020.45, 'humidity': 100, 'temp_min': 83.14, 'temp_max': 83.14, 'sea_level': 1020.48, 'grnd_level': 1020.45}",,Butaritari,,"{'message': 0.0034, 'country': 'KI', 'sunrise': 1521398011, 'sunset': 1521441589}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 7.85, 'deg': 145.501}"
19,stations,{'all': 75},200,"{'lon': 134.5, 'lat': 33.93}",1521440340.0,1865309.0,"{'temp': 53.6, 'pressure': 1012, 'humidity': 100, 'temp_min': 53.6, 'temp_max': 53.6}",,Katsuura,,"{'type': 1, 'id': 7587, 'message': 0.0039, 'country': 'JP', 'sunrise': 1521407247, 'sunset': 1521450758}",500.0,"[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50d'}, {'id': 520, 'main': 'Rain', 'description': 'light intensity shower rain', 'icon': '09d'}]","{'speed': 4.7, 'deg': 50}"
20,stations,{'all': 1},200,"{'lon': -122.43, 'lat': 37.46}",1521438960.0,5354943.0,"{'temp': 49.6, 'pressure': 1021, 'humidity': 81, 'temp_min': 46.4, 'temp_max': 51.8}",,Half Moon Bay,,"{'type': 1, 'id': 392, 'message': 0.0041, 'country': 'US', 'sunrise': 1521468848, 'sunset': 1521512462}",16093.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 4.5, 'deg': 353.501}"
